DATE,AVG,MAX,MIN
2020-06-28,26.793,29.562,26.187
2020-06-29,26.562,30.187,21.75
2020-06-30,25.806,27.875,21.75
2020-07-01,25.001,27.437,21.125
2020-07-02,24.629,26.625,22.937
2020-07-03,24.113,26.687,21.875
2020-07-04,24.587,26.75,22.437
2020-07-05,24.473,26.437,21.5
2020-07-06,25.433,27.437,23.812
2020-07-07,25.783,27.687,23.937
2020-07-08,26.306,27.437,24.437
2020-07-09,25.896,27.25,24.312
2020-07-10,25.562,27.187,23.687
2020-07-11,26.18,26.375,26.062
2020-07-12,26.292,27.625,23.0
2020-07-13,25.574,27.687,24.25
2020-07-14,25.385,27.75,23.812
2020-07-15,25.71,27.5,24.375
2020-07-16,26.646,30.25,24.312
2020-07-17,27.332,30.375,25.062
2020-07-18,27.417,30.125,25.812
2020-07-19,27.174,28.375,25.0
2020-07-20,25.653,26.562,24.5
2020-07-21,25.394,27.187,23.312
2020-07-22,23.071,25.062,20.437
2020-07-23,22.813,24.062,21.937
2020-07-24,24.188,24.25,24.187
2020-07-25,24.878,24.937,24.875
2020-07-26,23.766,25.062,23.187
2020-07-27,23.805,23.937,23.687
2020-07-29,22.587,23.187,21.187
2020-07-30,21.98,22.687,21.687
2020-07-31,22.502,23.5,20.062
2020-08-01,22.32,23.187,21.687
